id	scene_id	person	gender	original_line	line	metadata	filename
1	1	MONICA	F	Monica: There's nothing to tell! He's just some guy I work with!	There's nothing to tell! He's just some guy I work with!	There_EX 's_VBZ nothing_PN1 to_TO tell_VVI !_! He_PPHS1 's_VBZ just_RR some_DD guy_NN1 I_PPIS1 work_VV0 with_IW !_!	0101.txt
101	1	JOEY	M	Joey: C'mon, you're going out with the guy! There's gotta be something wrong with him!	C'mon, you're going out with the guy! There's gotta be something wrong with him!	C'm_VV0 on_RP you_PPY 're_VBR going_VVG out_RP with_IW the_AT guy_NN1 !_! There_EX 's_VHZ got_VVN ta_TO be_VBI something_PN1 wrong_JJ with_IW him_PPHO1 !_!	0101.txt
201	1	CHANDLER	M	Chandler: All right Joey, be nice.  So does he have a hump? A hump and a hairpiece?	Alright Joey, be nice. So does he have a hump? A hump and a hairpiece?	All_RR21 right_RR22 Joey_NP1 be_VBI nice_JJ ._. So_RR does_VDZ he_PPHS1 have_VHI a_AT1 hump_NN1 ?_? A_AT1 hump_NN1 and_CC a_AT1 hairpiece_NN1 ?_?	0101.txt
301	1	PHOEBE	F	Phoebe: Wait, does he eat chalk?	Wait, does he eat chalk?	Wait_VV0 does_VDZ he_PPHS1 eat_VVI chalk_NN1 ?_?	0101.txt
401	1	PHOEBE	F	Phoebe: Just, 'cause, I don't want her to go through what I went through with Carl- oh!	Just, 'cause, I don't want her to go through what I went through with Carl- oh!	Just_RR 'cause_CS I_PPIS1 do_VD0 n't_XX want_VVI her_PPHO1 to_TO go_VVI through_II what_DDQ I_PPIS1 went_VVD through_RP with_IW Carl-_NN1 oh_UH !_!	0101.txt
501	1	MONICA	F	Monica: Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having sex.	Okay, everybody relax. This is not even a date. It's just two people going out to dinner and not having sex.	Okay_RR everybody_PN1 relax_VV0 ._. This_DD1 is_VBZ not_XX even_RR a_AT1 date_NN1 ._. It_PPH1 's_VBZ just_RR two_MC people_NN going_VVG out_RP to_II dinner_NN1 and-_NN1 not_XX having_VHG sex_NN1 ._.	0101.txt
601	1	CHANDLER	M	Chandler: Sounds like a date to me.	Sounds like a date to me.	Sounds_VVZ like_II a_AT1 date_NN1 to_II me._NNU	0101.txt
701	1	CHANDLER	M	Chandler: Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked.	Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked.	Alright_RR so_CS I_PPIS1 'm_VBM back_RP in_II high_JJ school_NN1 I_PPIS1 'm_VBM standing_VVG in_II the_AT middle_NN1 of_IO the_AT cafeteria_NN1 and_CC I_PPIS1 realize_VV0 I_PPIS1 am_VBM totally_RR naked_JJ ._.	0101.txt
801	1	ALL	U	All: Oh, yeah. Had that dream.	Oh, yeah. Had that dream.	Oh_UH yeah_UH ._. Had_VHD that_DD1 dream_NN1 ._.	0101.txt
901	1	CHANDLER	M	Chandler: Then I look down, and I realize there's a phone... there.	Then I look down, and I realize there's a phone... there.	Then_RT I_PPIS1 look_VV0 down_RP and_CC I_PPIS1 realize_VV0 there_EX 's_VBZ a_AT1 phone_NN1 ..._... there_RL ._.	0101.txt
